sequence,camera,n_frames,n_frames_with_hand,availability_rate,mean_hands_per_frame,has_latent,hand_feature_eligible,reason_excluded
p41-boxing-0021,brics-odroid-024_cam1,16,16,1.0,1.9375,1,1,
p41-boxing-0021,brics-odroid-025_cam0,16,16,1.0,2.0,1,1,
p41-boxing-0021,brics-odroid-025_cam1,16,2,0.125,0.1875,1,0,only 2/16 frames with a usable hand
p41-boxing-0021,brics-odroid-026_cam0,16,16,1.0,1.25,1,1,
p41-boxing-0021,brics-odroid-026_cam1,16,16,1.0,2.0,1,1,
p41-boxing-0021,brics-odroid-027_cam0,16,8,0.5,0.5,1,1,
p41-boxing-0021,brics-odroid-027_cam1,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-boxing-0021,brics-odroid-028_cam0,16,16,1.0,2.0,1,1,
p41-boxing-0021,brics-odroid-029_cam0,16,16,1.0,2.0,1,1,
p41-boxing-0021,brics-odroid-029_cam1,16,16,1.0,2.0,1,1,
p41-boxing-0021,brics-odroid-030_cam0,16,16,1.0,1.625,1,1,
p41-boxing-0021,brics-odroid-030_cam1,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-001_cam0,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-001_cam1,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-002_cam0,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-006_cam0,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-007_cam0,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-007_cam1,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-008_cam0,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-plant-0004,brics-odroid-009_cam1,16,16,1.0,1.8125,1,1,
p41-plant-0004,brics-odroid-010_cam0,16,16,1.0,1.9375,1,1,
p41-plant-0004,brics-odroid-010_cam1,16,16,1.0,1.0625,1,1,
p41-plant-0004,brics-odroid-011_cam0,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-012_cam0,16,16,1.0,1.4375,1,1,
p41-plant-0004,brics-odroid-012_cam1,16,15,0.9375,1.625,1,1,
p41-plant-0004,brics-odroid-014_cam1,16,16,1.0,1.0625,1,1,
p41-plant-0004,brics-odroid-015_cam0,16,9,0.5625,0.5625,1,1,
p41-plant-0004,brics-odroid-015_cam1,16,16,1.0,1.8125,1,1,
p41-plant-0004,brics-odroid-016_cam0,16,16,1.0,1.5,1,1,
p41-plant-0004,brics-odroid-017_cam0,16,16,1.0,1.8125,1,1,
p41-plant-0004,brics-odroid-017_cam1,16,16,1.0,1.9375,1,1,
p41-plant-0004,brics-odroid-019_cam1,16,16,1.0,1.75,1,1,
p41-plant-0004,brics-odroid-020_cam0,16,16,1.0,1.0,1,1,
p41-plant-0004,brics-odroid-020_cam1,16,16,1.0,1.0,1,1,
p41-plant-0004,brics-odroid-021_cam0,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-021_cam1,16,16,1.0,1.9375,1,1,
p41-plant-0004,brics-odroid-022_cam0,16,13,0.8125,1.125,1,1,
p41-plant-0004,brics-odroid-022_cam1,16,16,1.0,1.9375,1,1,
p41-plant-0004,brics-odroid-023_cam0,16,16,1.0,2.0,1,1,
